"comment","user_id"
"comment_text","228"
"""Jungkook once said: """"whenever ARMYS miss us","341"
"""Everyone who sees this: You’re beautiful","255"
"""Everyone who reads this","738"
"""used this for getting me through a 2","547"
"""If you are ARMY","632"
"""those of you struggling","804"
"""Don't worry Namjoon ","701"
"""What ever you're chasing for","957"
"""Bts es lo único que tengo como mi consuelo ","786"
"""💜💜💜💜💜💜nunca desista ami ","473"
"""First of all","96"
"""I got 100% :( because of BTS","378"
"""to everyone studying or doing homework","179"
"I can here their voices ( ◜‿◝ )♡","579"
"""Hey you👋. Yes","143"
"""Why is everyone in the comments so sweet","583"
"""9 pm just crying because","370"
"""When I have something sad","121"
"""At first I was not going to comment","689"
"""damn","858"
"""Words can't explain","573"
"""I listen to this when I am feeling well","757"
"this is yoongis masterpieces in one no cap","699"
"BTS is perfection 💜😭","732"
"""Even though I've been an army for a long time","725"
"""Through this video my past ","42"
"Let us work the magic~ BTS","57"
"""as the keys dance in harmony","33"
"""One day if I'm pregnant","869"
"the way you choose spring day for the first song.","684"
"i have an exam today will i be able to do my best","189"
"""Insisto en que el coro (o bueno","545"
"""Mi pregunta aquí es","5"
"""¡Feliz año! (´∀｀)♡ Cuéntenme","517"
"""la portada con el taekook","940"
"""Amo la carita de Yoongiiii","569"
"""_Oh Shit","974"
"""Una de mis canciones favoritas del álbum","863"
"No se imaginan cuánto amo está canción :') ❤","994"
"Se la dedico a mi mamá.","184"
"""Hola","795"
"Mi fav del álbum ozy 💙🥺😎","566"
"Yo pensando que Yoongi cantaba los coros: 🤡 xD","16"
"Se la dedico a Min Yoongi ❤️✨","105"
"""Estaba esperando esta traducción","709"
"""Dediquen la canción","72"
"""Oigan","59"
"Lo estaba esperando (人 •͈ᴗ•͈)💜","856"
"""Deja ir tus preocupaciones por un tiempo","881"
"""Está hermoso ","580"
"Me la dedicaron :'''D","572"
"""Amo a JK","904"
"""Vengo del futuro","554"
"""Yo no dude en dedicárselo a mi mejor amiga","515"
"""2:07 el """"bebé"""" de fondo de Namjoon LPM""","153"
"Es arte de yoongi mi rey 🤗💜","601"
"""Por fin","356"
"Ameeeee ❤ La edición del video es súper linda!!~","749"
"""Hasta que no vea la presentación en vivo","149"
"""Llegué 👁️👄👁️👍","646"
"""Woa! Se ve lindo","281"
"""Gracias por ser mi felicidad","61"
"el Taekook de miniatura lo es todo","699"
"""Hermosaaa una joya","775"
"""Weeee~~ Mi mejor amiga me dedico esta canción ","642"
"""De verdad no sabia el significado :'3","37"
"Primeraaaa hermoso AHHHH 😭❤️","528"
"""Vine más rápido que el rap de suga ","180"
"Podrías hacer uno hací pero con disease?🥺","400"
"Haces arte! Muchas gracias por la traducción :3","528"
"""Al ver tus videos","402"
"Tus traducciones son arte","455"
"""Si la dedico no es pa cualquiera","106"
"Esto es arte aaaaaa >v<💜","216"
"Realmente me encantó la traducción es hermoso 💞","290"
"""Porque no tiene millones de likes","552"
"""Aaah","685"
"I can't stop laughing 🤣😂🤣","992"
"Why did i laugh like Jin  This day😂😂","688"
"Omg my heart 😔❤️ 😂😂😂😂😂😭😭😭","56"
"Happy New year to all 🔥❤️","507"
"BTS never Fail to make army laugh","725"
"V and jin voice 🤣🤣🤣🤣🤣😂😂","694"
"Mochi are u ok ? Tae's laugh was cute","150"
"Me laughing like WORLDWIDE HANDSOME JIN  🤣😂😂😂","776"
"Me i can stop laughing to jin","937"
"Aww! So cute and funny!","489"
"V laughing definitely fits to the song. 😅😅","529"
"I like tae hyun part non stop laughing 😂🤣😂🤣","514"
"Jin's  laugh 😂🤣","595"
"When jimin was showing his sock drawing  👀 Wow","370"
"Aww V (Kim taehyung) laugh💜😂💜 5th one guess","834"
"every year is happy with BTS 💜💜💜💜","757"
"ジミンかっこいい👩‍❤️‍💋‍👨","285"
"Y is this so perfect 😻💜💜💜💜💜","564"
"Jimin was so cute🐥 but all of them was cute also","858"
"That was hilarious.. 😂💜","326"
"im like dying someone help me 🤣🤣🤣🤣🤣🤣🤣🤣","797"
"V so cute","719"
"that edit with ball I can't 🤣🤣🤣","295"
"Bts cool and smile and cute little boys.😻💝","128"
"This left me dyeing😂😂😂😂😂","603"
"My heart💜😂  I am laughing so hard✋🏻","678"
"At the last jin got targen spirit  I am dying lol","805"
"""They are famous for being crackheads 😂😂","267"
"jin so funny 🤣🤣🤣🤣","117"
"wお腹いたいwww","363"
"Rappy New year to all❤🔥","994"
"Lmao 💜💜💜💜😂😂😂😂","375"
"V is the perfect","391"
"Oh my god 😂😂😂😂😂😂 luv u ahh","533"
"Ur edits are 😍😍😍😍😍😍 purple u","493"
"او مي قاد شوقا وجين😂😂😂😂😂😂","54"
"Oh my gawd my heart is oh my god😂😂😂💜🤣","968"
"This is so funny i cant stop laughing!🤣🤣🤣","504"
"Dis is 2 cuteeeee","947"
"Such a great edit","100"
"I love this so much","535"
"BTS is so amazing👍👍👍👍","979"
"Cuttttteee 😘😘😘","148"
"Hi ❤️❤️❤️❤️ I like you so much BTS","534"
"Happy lmao new year ❤️❤️","846"
"This is amazing 😱💟💟","618"
"ㅋㅋㅋㅋㅋ","636"
"I can't stop watching this 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣","221"
"Jin 😂😂😂😂😂😂😂😂","867"
"This video is amazing I can't stop laughing 🥰🤭","918"
"I can't stop laughing 🤣🤣😂","858"
"No no no lol I can't breath 😂🤣😂🤣","692"
"Yes nice song BTS cute and handsome","511"
"Taehyung hahaha","444"
"Hahahahaha so funny and cute 🤣😍. Happy new YEAR","589"
"I'm dying 😂😂😂","480"
"❤️❤️❤️ BTS army forever ❤️❤️❤️","758"
"Happy new year po 😊😊😊😊😊","426"
"My heartu  boom boom 😂😂","983"
"Happy new year.... 💜💜💖💖💖💜💜","157"
"MORRI KKKKK🤣","118"
"Awwww","130"
"טאהיונג הצחיק אותי😂❤💜❤","77"
"Thanks 😍😍😘😘ilove you","304"
"😃😃Kim sokjin","880"
"❤","99"
"Aww so cute n funny","466"
"""itu KIM TAEHYUNG NYA ( V ) lucuuuu ","976"
"😅😅they are soo funny😂😂","19"
"Soo funny 💜","569"
"omg funny so cute😂😅❤🤗","940"
"who else agrees that she's underrated? 💓","274"
"""Wow 😯 I can’t believe she is in college","950"
"""I literally thought she was 9 or 10 years old","946"
"Your pronounciation improved so much!","782"
"Never clicked this fast in my life","619"
"""Can't take my eyes off you","780"
"""your angelic voice","64"
"""AAAA su voz es hermosa me encanta","514"
